question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,choice_5,correct,explanation
1,single,ボイラーの構造に関する知識,熱・蒸気・圧力,温度及び圧力に関する記述として、適切でないものは次のうちどれか。,,,,,,セルシウス温度は、水の氷点と沸点を基準に定められた温度である。,絶対温度は、セルシウス温度に約273を加えた値で表される。,圧力計に示される圧力は、一般にゲージ圧力である。,絶対圧力は、ゲージ圧力から大気圧を差し引いた圧力である。,標準大気圧は、約0.101MPaである。,4,絶対圧力は、ゲージ圧力に大気圧を加えた圧力である。
2,single,ボイラーの構造に関する知識,熱・蒸気・圧力,蒸気の性質に関する記述として、適切なものは次のうちどれか。,,,,,,飽和水を同じ圧力の乾き飽和蒸気にする熱を蒸発潜熱という。,乾き飽和蒸気は、必ず水滴を大量に含む蒸気である。,過熱蒸気は、飽和温度より低い温度の蒸気である。,蒸気表では、圧力は常にゲージ圧力だけで表示される。,水の比熱は、圧力に関係なく0である。,1,蒸発潜熱は、飽和水を同圧の乾き飽和蒸気に変えるための熱である。
3,single,ボイラーの構造に関する知識,熱・蒸気・圧力,ボイラー効率に関する記述として、適切でないものは次のうちどれか。,,,,,,燃料の発熱量は、ボイラー効率の算定に関係する。,発生蒸気に与えた熱量と燃料が供給した熱量との関係で評価される。,排ガス熱損失は、効率低下の一因となる。,ボイラー効率は、燃料を多く消費するほど必ず高くなる。,給水温度の上昇は、効率改善に寄与することがある。,4,燃料消費量が増えるだけで効率が高くなるわけではない。
4,single,ボイラーの構造に関する知識,熱・蒸気・圧力,換算蒸発量に関する記述として、適切なものは次のうちどれか。,,,,,,実際蒸発量を一定条件の蒸発量に換算したものである。,燃料タンクの容量を示す値である。,送風機の風量を示す値である。,水面計の長さを示す値である。,安全弁の吹出し圧力を示す値である。,1,換算蒸発量は、ボイラー容量を比較しやすくするための換算値である。
5,single,ボイラーの構造に関する知識,燃焼室・伝熱面,燃焼室及び伝熱面に関する記述として、適切でないものは次のうちどれか。,,,,,,燃焼室は、燃料を燃焼させて熱を発生させる部分である。,燃焼室は、火炉とも呼ばれる。,燃焼室に面する伝熱面では、放射による熱の授受が行われる。,燃焼装置は、燃料の種類に関係なく常に同一構造である。,燃焼室では、燃料と空気の混合状態が燃焼に影響する。,4,燃焼装置は、液体燃料、気体燃料、固体燃料などで構造が異なる。
6,single,ボイラーの構造に関する知識,燃焼室・伝熱面,伝熱面に関する記述として、適切なものは次のうちどれか。,,,,,,高温ガスから水又は蒸気へ熱を伝える面である。,燃料を貯蔵するタンクの内面だけをいう。,燃焼に必要な酸素量を測定する計器である。,安全弁のばねを支える部品である。,ボイラー水の硬度を下げる薬剤である。,1,伝熱面は、燃焼ガスなどの熱をボイラー水又は蒸気へ伝える面である。
7,single,ボイラーの構造に関する知識,水循環・水管ボイラー,ボイラーの水循環に関する記述として、適切でないものは次のうちどれか。,,,,,,温度が上がり気泡を含む水は、上昇しやすい。,温度の低い水は、下降しやすい。,水循環が悪いと、伝熱面の過熱につながることがある。,自然循環は、水と蒸気の密度差を利用する。,水循環が良いほど、伝熱面温度は必ず無限に上昇する。,5,水循環が良いと熱が水へ伝わりやすく、伝熱面の過熱防止に役立つ。
8,single,ボイラーの構造に関する知識,水循環・水管ボイラー,水管ボイラーに関する記述として、適切なものは次のうちどれか。,,,,,,水管内の水又は蒸気を外部から加熱する構造である。,煙管だけで構成されるボイラーである。,必ず低圧小容量にしか用いられない。,蒸気ドラムを持つ形式は存在しない。,高圧化すると必ず使用できなくなる。,1,水管ボイラーは、水管内の水又は蒸気を加熱する構造で、高圧大容量にも適する。
9,single,ボイラーの構造に関する知識,水循環・水管ボイラー,強制循環式水管ボイラーに関する記述として、適切なものは次のうちどれか。,,,,,,循環ポンプによりボイラー水を循環させる。,水循環を全く行わない。,蒸気だけを燃料として燃焼させる。,給水を行わずに運転する。,水面計を取り付けることができない。,1,強制循環式では、循環系路中のポンプで水を循環させる。
10,single,ボイラーの構造に関する知識,炉筒煙管・貫流・鋳鉄製,炉筒煙管ボイラーに関する記述として、適切でないものは次のうちどれか。,,,,,,保有水量が比較的多い。,負荷変動による圧力変動が比較的小さい。,煙管内を燃焼ガスが通る。,高圧大容量ボイラーとして水管ボイラーより常に有利である。,戻り燃焼方式を採用するものがある。,4,高圧大容量には、水管ボイラーが一般に適している。
