slug,title,category,tags,summary,col_labels,compare_rows,article_title,article_lead,exam_points,common_mistakes,memory_tip,related_terms,faq_1_question,faq_1_answer,faq_2_question,faq_2_answer,faq_3_question,faq_3_answer,faq_4_question,faq_4_answer
kantai-empkan,貫流ボイラーと炉筒煙管ボイラーの違い,ボイラーの構造に関する知識,貫流ボイラー;炉筒煙管ボイラー;構造,貫流式と炉筒煙管式の構造・水循環・用途の違いを整理します。,貫流ボイラー;炉筒煙管ボイラー,"[{""axis"": ""構造の特徴"", ""cols"": [""水管が煙道気流と並流・対流で配置"", ""大径の炉筒内に多数の煙管""]}, {""axis"": ""水循環"", ""cols"": [""自然循環・強制循環の両方があり小型〜中型に多い"", ""自然循環が主体で貯水量が比較的大きい""]}, {""axis"": ""蒸発量・圧力"", ""cols"": [""比較的高圧・高蒸発量向け"", ""中低圧・中規模以下に多い""]}, {""axis"": ""試験の見分け"", ""cols"": [""「水管」「対流」「高圧」がキーワード"", ""「炉筒」「煙管」「貯水量」がキーワード""]}, {""axis"": ""混同注意"", ""cols"": [""すべて貫流が高圧と決めつける"", ""煙管式に強制循環がないとする""]}]",貫流ボイラーと炉筒煙管ボイラーの違い｜2級ボイラー,2級ボイラーではボイラー種別の構造比較が頻出です。貫流は水管配置と高圧向け、炉筒煙管は炉筒内煙管と貯水量のイメージで整理してください。,貫流＝水管・対流配置;炉筒煙管＝炉筒内煙管;水循環方式を区別;用途・圧力帯で引っかけに注意,貫流と煙管を同一構造とする;水循環を逆に覚える;鋳鉄製小型を大型貫流と混同,「貫流＝水管・高圧寄り」「煙管＝炉筒・貯水」とキーワードで分類。,貫流ボイラー;炉筒煙管ボイラー;水循環・水管ボイラー,貫流ボイラーと炉筒煙管ボイラーの違いは何から押さえるべきですか？,最初に『主語・目的・適用場面』の3点を固定してください。2級ボイラー技士では似た用語を入れ替えた肢が多く、定義だけでなく運転手順や法令上の位置づけまで一緒に確認すると誤答率が下がります。比較表を声に出して説明できる状態を目標にします。,本番で迷ったときの判断手順は？,問題文の条件（圧力・水位・法令・手順）を先に抽出し、次に比較軸へ当てはめます。選択肢を先に読むより、判断軸を固定してから照合する方が引っかけを回避しやすく、時間配分も安定します。過去問では同型の誤答理由を必ず記録してください。,学習を定着させる復習法は？,で定義を確認し、で運転・法令の実務軸を追加して往復してください。誤答した問題は『条件読み落とし・数値混同・手順逆転』のどれかに分類して再演習すると、短期間で再発を抑えられます。復習時は必ず関連用語と比較表をセットで参照します。,公式情報はどのタイミングで確認すべきですか？,受験直前だけでなく、週次の学習サイクル末尾で更新有無を確認するのが安全です。法令・検査・試験制度に関わる数値は改正や運用変更で差が出るため、要項・条文・試験実施団体の案内を一次情報として照合してください。数値・日程・合格基準は公益財団法人 安全衛生技術試験協会（www.exam.or.jp）の試験要項で必ずご確認ください。
suikan-empkan,水管ボイラーと煙管ボイラーの違い,ボイラーの構造に関する知識,水管ボイラー;煙管;構造,加熱面が水管側か煙管側かという整理軸で、水管・煙管ボイラーの違いを比較します。,水管ボイラー;煙管ボイラー,"[{""axis"": ""加熱の主体"", ""cols"": [""燃焼ガスが水管外を流れ水を加熱"", ""燃焽ガスが煙管内を流れ管壁を加熱""]}, {""axis"": ""典型形式"", ""cols"": [""貫流・ベントン等の水管系"", ""炉筒煙管式の代表""]}, {""axis"": ""伝熱・圧力"", ""cols"": [""高圧・高出力向けの設計が多い"", ""中低圧・貯水量重視の設計が多い""]}, {""axis"": ""試験の見分け"", ""cols"": [""「水管＝外側加熱」"", ""「煙管＝管内をガスが通る」""]}, {""axis"": ""混同注意"", ""cols"": [""水管＝すべて貫流と短絡"", ""煙管＝煙突だけと誤解""]}]",水管ボイラーと煙管ボイラーの違い｜2級ボイラー,加熱面の位置づけで水管・煙管を区別します。貫流は水管ボイラーの一種、炉筒煙管は煙管ボイラーの典型です。名称だけでなく熱の流れで覚えてください。,加熱面が水管外か煙管内かで区別;貫流は水管ボイラーの一種;炉筒煙管は煙管側加熱;図で熱流れを確認,水管と煙管を別ボイラー種別と混同;加熱方向を逆にする;煙管＝煙突と短絡,「水側の管外」「ガスは煙管内」を熱の流れで整理。,水管ボイラー;煙管;炉筒煙管ボイラー,水管ボイラーと煙管ボイラーの違いは何から押さえるべきですか？,最初に『主語・目的・適用場面』の3点を固定してください。2級ボイラー技士では似た用語を入れ替えた肢が多く、定義だけでなく運転手順や法令上の位置づけまで一緒に確認すると誤答率が下がります。比較表を声に出して説明できる状態を目標にします。,本番で迷ったときの判断手順は？,問題文の条件（圧力・水位・法令・手順）を先に抽出し、次に比較軸へ当てはめます。選択肢を先に読むより、判断軸を固定してから照合する方が引っかけを回避しやすく、時間配分も安定します。過去問では同型の誤答理由を必ず記録してください。,学習を定着させる復習法は？,で定義を確認し、で運転・法令の実務軸を追加して往復してください。誤答した問題は『条件読み落とし・数値混同・手順逆転』のどれかに分類して再演習すると、短期間で再発を抑えられます。復習時は必ず関連用語と比較表をセットで参照します。,公式情報はどのタイミングで確認すべきですか？,受験直前だけでなく、週次の学習サイクル末尾で更新有無を確認するのが安全です。法令・検査・試験制度に関わる数値は改正や運用変更で差が出るため、要項・条文・試験実施団体の案内を一次情報として照合してください。数値・日程・合格基準は公益財団法人 安全衛生技術試験協会（www.exam.or.jp）の試験要項で必ずご確認ください。
hojo-kanki-jouki,飽和蒸気と過熱蒸気の違い,ボイラーの構造に関する知識,飽和蒸気;過熱蒸気;熱力学,同一圧力での飽和蒸気と過熱蒸気の温度・エンタルピー・用途の違いを整理します。,飽和蒸気;過熱蒸気,"[{""axis"": ""温度・状態"", ""cols"": [""飽和温度（湿り蒸気を含む）"", ""飽和温度より高温（過熱度あり）""]}, {""axis"": ""含水率"", ""cols"": [""湿り蒸気はドライ度で表現"", ""過熱蒸気は過熱度で表現""]}, {""axis"": ""設備"", ""cols"": [""汽水分離の後、蒸気止め弁手前"", ""過熱器出口側""]}, {""axis"": ""試験の見分け"", ""cols"": [""「飽和曲線上」「湿り」"", ""「過熱器」「過熱度」""]}, {""axis"": ""混同注意"", ""cols"": [""過熱蒸気の方が温度が低い"", ""湿り蒸気＝過熱蒸気""]}]",飽和蒸気と過熱蒸気の違い｜2級ボイラー,蒸気の状態は構造・取扱いの両方で問われます。飽和は飽和温度・湿り蒸気、過熱は過熱器出口の高温蒸気として区別してください。,飽和＝飽和温度・湿りあり得る;過熱＝過熱器出口・過熱度;エンタルピーは状態で異なる;湿りと過熱を混同しない,過熱蒸気を飽和以下とする;湿り蒸気を過熱と同一視;過熱器の位置を無視,「飽和＝汽水分離後」「過熱＝過熱器出口」と設備で整理。,飽和蒸気;過熱蒸気;過熱器;湿り蒸気,飽和蒸気と過熱蒸気の違いは何から押さえるべきですか？,最初に『主語・目的・適用場面』の3点を固定してください。2級ボイラー技士では似た用語を入れ替えた肢が多く、定義だけでなく運転手順や法令上の位置づけまで一緒に確認すると誤答率が下がります。比較表を声に出して説明できる状態を目標にします。,本番で迷ったときの判断手順は？,問題文の条件（圧力・水位・法令・手順）を先に抽出し、次に比較軸へ当てはめます。選択肢を先に読むより、判断軸を固定してから照合する方が引っかけを回避しやすく、時間配分も安定します。過去問では同型の誤答理由を必ず記録してください。,学習を定着させる復習法は？,で定義を確認し、で運転・法令の実務軸を追加して往復してください。誤答した問題は『条件読み落とし・数値混同・手順逆転』のどれかに分類して再演習すると、短期間で再発を抑えられます。復習時は必ず関連用語と比較表をセットで参照します。,公式情報はどのタイミングで確認すべきですか？,受験直前だけでなく、週次の学習サイクル末尾で更新有無を確認するのが安全です。法令・検査・試験制度に関わる数値は改正や運用変更で差が出るため、要項・条文・試験実施団体の案内を一次情報として照合してください。数値・日程・合格基準は公益財団法人 安全衛生技術試験協会（www.exam.or.jp）の試験要項で必ずご確認ください。
shizen-kyosei-junkan,自然循環と強制循環の違い,ボイラーの構造に関する知識,自然循環;強制循環;水循環,密度差による自然循環とポンプによる強制循環の原理・適用の違いを整理します。,自然循環;強制循環,"[{""axis"": ""駆動力"", ""cols"": [""下降管と上昇管の密度差"", ""循環ポンプの揚程・流量""]}, {""axis"": ""典型ボイラー"", ""cols"": [""炉筒煙管など貯水量の大きい形式"", ""貫流の一部・高圧大型""]}, {""axis"": ""停止時"", ""cols"": [""ポンプ停止で循環が弱まる設計に注意"", ""ポンプ故障時の運転制限""]}, {""axis"": ""試験の見分け"", ""cols"": [""「密度差」「下降管」"", ""「循環ポンプ」「強制」""]}, {""axis"": ""混同注意"", ""cols"": [""煙管式に強制循環がない"", ""自然循環にポンプ不要と一般化""]}]",自然循環と強制循環の違い｜2級ボイラー,水循環は構造科目の核です。自然循環は密度差、強制循環はポンプで循環流量を確保します。ボイラー形式とセットで覚えてください。,自然循環＝密度差;強制循環＝ポンプ;貫流は強制を併用し得る;停止・故障時の挙動に注意,すべて自然循環とする;強制循環＝給水のみと混同;下降管・上昇管の役割を逆にする,「密度差＝自然」「ポンプ＝強制」と駆動力で整理。,自然循環;強制循環;水循環・水管ボイラー,自然循環と強制循環の違いは何から押さえるべきですか？,最初に『主語・目的・適用場面』の3点を固定してください。2級ボイラー技士では似た用語を入れ替えた肢が多く、定義だけでなく運転手順や法令上の位置づけまで一緒に確認すると誤答率が下がります。比較表を声に出して説明できる状態を目標にします。,本番で迷ったときの判断手順は？,問題文の条件（圧力・水位・法令・手順）を先に抽出し、次に比較軸へ当てはめます。選択肢を先に読むより、判断軸を固定してから照合する方が引っかけを回避しやすく、時間配分も安定します。過去問では同型の誤答理由を必ず記録してください。,学習を定着させる復習法は？,で定義を確認し、で運転・法令の実務軸を追加して往復してください。誤答した問題は『条件読み落とし・数値混同・手順逆転』のどれかに分類して再演習すると、短期間で再発を抑えられます。復習時は必ず関連用語と比較表をセットで参照します。,公式情報はどのタイミングで確認すべきですか？,受験直前だけでなく、週次の学習サイクル末尾で更新有無を確認するのが安全です。法令・検査・試験制度に関わる数値は改正や運用変更で差が出るため、要項・条文・試験実施団体の案内を一次情報として照合してください。数値・日程・合格基準は公益財団法人 安全衛生技術試験協会（www.exam.or.jp）の試験要項で必ずご確認ください。
anzen-nigasiben,安全弁と逃がし弁の違い,ボイラーの取扱いに関する知識,安全弁;逃がし弁;附属品,過圧保護の安全弁と、運転操作で開閉する逃がし弁の目的・作動の違いを整理します。,安全弁;逃がし弁,"[{""axis"": ""目的"", ""cols"": [""設定圧力で自動開放し過圧を防止"", ""運転上、圧力・水位調整等で開閉""]}, {""axis"": ""作動"", ""cols"": [""スプリング・レバー等で自動"", ""手動または自動制御（用途による）""]}, {""axis"": ""試験"", ""cols"": [""整定・封印・検査が法令・規則で規定"", ""操作手順・開度の確認""]}, {""axis"": ""見分け"", ""cols"": [""「過圧保護」「ふたご」"", ""「ブロー」「逃がし」「手動」""]}, {""axis"": ""混同注意"", ""cols"": [""逃がし弁で過圧保護"", ""安全弁を日常操作で開ける""]}]",安全弁と逃がし弁の違い｜2級ボイラー,附属品の中でも安全弁は最終的な過圧保護、逃がし弁は運転操作に用います。名称と作動条件を混同しないことが試験の要点です。,安全弁＝過圧の自動開放;逃がし弁＝運転操作;整定・検査は安全弁が重要;日常で安全弁を開けない,逃がし弁を安全装置とする;安全弁を手動開放;整定圧力を混同,「過圧＝安全弁」「運転操作＝逃がし」と目的で整理。,安全弁;逃がし弁;附属品・安全弁・圧力計,安全弁と逃がし弁の違いは何から押さえるべきですか？,最初に『主語・目的・適用場面』の3点を固定してください。2級ボイラー技士では似た用語を入れ替えた肢が多く、定義だけでなく運転手順や法令上の位置づけまで一緒に確認すると誤答率が下がります。比較表を声に出して説明できる状態を目標にします。,本番で迷ったときの判断手順は？,問題文の条件（圧力・水位・法令・手順）を先に抽出し、次に比較軸へ当てはめます。選択肢を先に読むより、判断軸を固定してから照合する方が引っかけを回避しやすく、時間配分も安定します。過去問では同型の誤答理由を必ず記録してください。,学習を定着させる復習法は？,で定義を確認し、で運転・法令の実務軸を追加して往復してください。誤答した問題は『条件読み落とし・数値混同・手順逆転』のどれかに分類して再演習すると、短期間で再発を抑えられます。復習時は必ず関連用語と比較表をセットで参照します。,公式情報はどのタイミングで確認すべきですか？,受験直前だけでなく、週次の学習サイクル末尾で更新有無を確認するのが安全です。法令・検査・試験制度に関わる数値は改正や運用変更で差が出るため、要項・条文・試験実施団体の案内を一次情報として照合してください。数値・日程・合格基準は公益財団法人 安全衛生技術試験協会（www.exam.or.jp）の試験要項で必ずご確認ください。
kansen-teibu-buro,連続ブローと底部ブローの違い,ボイラーの取扱いに関する知識,連続ブロー;底部ブロー;水質,水質管理のための連続ブローと、沈殿物除去の底部ブローの目的・実施の違いを整理します。,連続ブロー;底部ブロー,"[{""axis"": ""目的"", ""cols"": [""濃縮した炉水を常時少量排出し水質を維持"", ""沈殿物・スラッジを周期排出""]}, {""axis"": ""実施"", ""cols"": [""運転中も継続（調整弁）"", ""運転状態・手順に応じた実施""]}, {""axis"": ""関連"", ""cols"": [""給水補給・薬品注入とセット"", ""ブローダウン・洗浄とセット""]}, {""axis"": ""試験"", ""cols"": [""「常時少量」"", ""「沈殿」「周期」""]}, {""axis"": ""混同"", ""cols"": [""底部を常時全開"", ""連続でスラッジのみ除去""]}]",連続ブローと底部ブローの違い｜2級ボイラー,ブローは取扱い・水質の頻出論点です。連続は濃縮防止、底部は沈殿除去。実施タイミングと目的を混同しないでください。,連続＝水質・常時少量;底部＝沈殿・周期;ブローダウン率と関連;全開操作の誤りに注意,連続と底部を同一目的とする;底部を常時全開;連続ブロー不要とする,「水質＝連続」「沈殿＝底部」と目的で整理。,連続ブロー;底部ブロー;ブローダウン,連続ブローと底部ブローの違いは何から押さえるべきですか？,最初に『主語・目的・適用場面』の3点を固定してください。2級ボイラー技士では似た用語を入れ替えた肢が多く、定義だけでなく運転手順や法令上の位置づけまで一緒に確認すると誤答率が下がります。比較表を声に出して説明できる状態を目標にします。,本番で迷ったときの判断手順は？,問題文の条件（圧力・水位・法令・手順）を先に抽出し、次に比較軸へ当てはめます。選択肢を先に読むより、判断軸を固定してから照合する方が引っかけを回避しやすく、時間配分も安定します。過去問では同型の誤答理由を必ず記録してください。,学習を定着させる復習法は？,で定義を確認し、で運転・法令の実務軸を追加して往復してください。誤答した問題は『条件読み落とし・数値混同・手順逆転』のどれかに分類して再演習すると、短期間で再発を抑えられます。復習時は必ず関連用語と比較表をセットで参照します。,公式情報はどのタイミングで確認すべきですか？,受験直前だけでなく、週次の学習サイクル末尾で更新有無を確認するのが安全です。法令・検査・試験制度に関わる数値は改正や運用変更で差が出るため、要項・条文・試験実施団体の案内を一次情報として照合してください。数値・日程・合格基準は公益財団法人 安全衛生技術試験協会（www.exam.or.jp）の試験要項で必ずご確認ください。
kanzen-fukanzen-nensho,完全燃焼と不完全燃焼の違い,燃料及び燃焼に関する知識,完全燃焼;不完全燃焼;燃焼,空気量・燃焼生成物の観点から完全燃焼と不完全燃焼の違いを整理します。,完全燃焼;不完全燃焼,"[{""axis"": ""空気量"", ""cols"": [""理論空気量＋適正な過剰空気"", ""空気不足または混合不良""]}, {""axis"": ""生成物"", ""cols"": [""主にCO₂・H₂O"", ""CO・すす・未燃成分""]}, {""axis"": ""効率・安全"", ""cols"": [""熱効率が高い"", ""熱損失・公害・爆燃のおそれ""]}, {""axis"": ""試験"", ""cols"": [""「過剰空気」「O₂分析」"", ""「CO・すす・黒煙」""]}, {""axis"": ""混同"", ""cols"": [""過剰空気ゼロが完全"", ""黒煙でも完全燃焼""]}]",完全燃焼と不完全燃焼の違い｜2級ボイラー,燃料・燃焼科目では燃焼の三要素と空気比が中心です。完全燃焼は適正な空気量、不完全燃焼はCO・すす等の発生として整理してください。,完全＝適正な過剰空気;不完全＝CO・すす;燃焼の三要素を確認;過剰空気過多も効率低下,空気ゼロで完全とする;CO発生を完全燃焼とする;黒煙を無視,「適正空気＝完全」「CO・すす＝不完全」と生成物で整理。,完全燃焼;不完全燃焼;燃焼の三要素;燃焼用空気,完全燃焼と不完全燃焼の違いは何から押さえるべきですか？,最初に『主語・目的・適用場面』の3点を固定してください。2級ボイラー技士では似た用語を入れ替えた肢が多く、定義だけでなく運転手順や法令上の位置づけまで一緒に確認すると誤答率が下がります。比較表を声に出して説明できる状態を目標にします。,本番で迷ったときの判断手順は？,問題文の条件（圧力・水位・法令・手順）を先に抽出し、次に比較軸へ当てはめます。選択肢を先に読むより、判断軸を固定してから照合する方が引っかけを回避しやすく、時間配分も安定します。過去問では同型の誤答理由を必ず記録してください。,学習を定着させる復習法は？,で定義を確認し、で運転・法令の実務軸を追加して往復してください。誤答した問題は『条件読み落とし・数値混同・手順逆転』のどれかに分類して再演習すると、短期間で再発を抑えられます。復習時は必ず関連用語と比較表をセットで参照します。,公式情報はどのタイミングで確認すべきですか？,受験直前だけでなく、週次の学習サイクル末尾で更新有無を確認するのが安全です。法令・検査・試験制度に関わる数値は改正や運用変更で差が出るため、要項・条文・試験実施団体の案内を一次情報として照合してください。数値・日程・合格基準は公益財団法人 安全衛生技術試験協会（www.exam.or.jp）の試験要項で必ずご確認ください。
rouho-boiler-kisoku,労働安全衛生法とボイラー及び圧力容器安全規則,関係法令,労働安全衛生法;ボイラー及び圧力容器安全規則;法令,労働安全衛生法の一般的な安全衛生義務と、ボイラー専用の安全規則の役割分担を整理します。,労働安全衛生法;ボイラー及び圧力容器安全規則,"[{""axis"": ""位置づけ"", ""cols"": [""労働災害防止の基本法"", ""ボイラー・圧力容器の技術基準""]}, {""axis"": ""内容"", ""cols"": [""事業者の安全衛生管理体制・一般則"", ""構造・検査・運転・附属品等の詳細""]}, {""axis"": ""試験範囲"", ""cols"": [""関係条項・令・規則の抜粋"", ""安全規則・構造規格の条項""]}, {""axis"": ""見分け"", ""cols"": [""「事業者義務」「管理体制」"", ""「検査・整定・構造」""]}, {""axis"": ""混同"", ""cols"": [""安衛法だけで整定圧力"", ""安全規則で労使協定のみ""]}]",労働安全衛生法とボイラー安全規則の違い｜2級ボイラー,関係法令は4科目10問。安衛法は基本法、ボイラー及び圧力容器安全規則は技術詳細です。条文の主語と数値基準を分けて学習してください。,安衛法＝基本法・管理体制;安全規則＝ボイラー技術基準;構造規格は附属品;試験範囲条項を要項で確認,安衛法に整定圧力のみ;安全規則を労基法と混同;構造規格を無視,「体制＝安衛法」「技術＝安全規則」と役割で整理。,労働安全衛生法;ボイラー及び圧力容器安全規則;法令総合,労働安全衛生法とボイラー規則の違いは何から押さえるべきですか？,最初に『主語・目的・適用場面』の3点を固定してください。2級ボイラー技士では似た用語を入れ替えた肢が多く、定義だけでなく運転手順や法令上の位置づけまで一緒に確認すると誤答率が下がります。比較表を声に出して説明できる状態を目標にします。,本番で迷ったときの判断手順は？,問題文の条件（圧力・水位・法令・手順）を先に抽出し、次に比較軸へ当てはめます。選択肢を先に読むより、判断軸を固定してから照合する方が引っかけを回避しやすく、時間配分も安定します。過去問では同型の誤答理由を必ず記録してください。,学習を定着させる復習法は？,で定義を確認し、で運転・法令の実務軸を追加して往復してください。誤答した問題は『条件読み落とし・数値混同・手順逆転』のどれかに分類して再演習すると、短期間で再発を抑えられます。復習時は必ず関連用語と比較表をセットで参照します。,公式情報はどのタイミングで確認すべきですか？,受験直前だけでなく、週次の学習サイクル末尾で更新有無を確認するのが安全です。法令・検査・試験制度に関わる数値は改正や運用変更で差が出るため、要項・条文・試験実施団体の案内を一次情報として照合してください。数値・日程・合格基準は公益財団法人 安全衛生技術試験協会（www.exam.or.jp）の試験要項で必ずご確認ください。
jitsuryoku-hisshi,実力試験と筆記試験の違い,関係法令,実力試験;筆記試験;試験制度,2級ボイラー技士免許取得に必要な筆記試験と実力試験の位置づけ・内容の違いを整理します。,筆記試験;実力試験,"[{""axis"": ""内容"", ""cols"": [""マークシートの学科試験（4科目）"", ""実機または実技設備での運転・操作""]}, {""axis"": ""合格後"", ""cols"": [""学科合格証の交付"", ""免許交付申請の要件の一つ""]}, {""axis"": ""実施"", ""cols"": [""安全衛生技術試験協会が実施"", ""教習・実技試験機関で実施（要確認）""]}, {""axis"": ""見分け"", ""cols"": [""「40問・400点」"", ""「点火・運転・点検」""]}, {""axis"": ""混同"", ""cols"": [""筆記のみで免許"", ""実力不要とする""]}]",実力試験と筆記試験の違い｜2級ボイラー,免許は筆記合格後、所定の実力試験（実技）を経て交付されます。学科の合格基準と実技の手順は別に整理してください。,筆記＝4科目学科;実力＝運転実技;両方が免許要件;合格基準は要項で確認,筆記のみで免許;実力試験を学科と混同;教習不要とする,「学科＝筆記」「実技＝実力」と段階で整理。,筆記試験;実力試験;法令総合,実力試験と筆記試験の違いは何から押さえるべきですか？,最初に『主語・目的・適用場面』の3点を固定してください。2級ボイラー技士では似た用語を入れ替えた肢が多く、定義だけでなく運転手順や法令上の位置づけまで一緒に確認すると誤答率が下がります。比較表を声に出して説明できる状態を目標にします。,本番で迷ったときの判断手順は？,問題文の条件（圧力・水位・法令・手順）を先に抽出し、次に比較軸へ当てはめます。選択肢を先に読むより、判断軸を固定してから照合する方が引っかけを回避しやすく、時間配分も安定します。過去問では同型の誤答理由を必ず記録してください。,学習を定着させる復習法は？,で定義を確認し、で運転・法令の実務軸を追加して往復してください。誤答した問題は『条件読み落とし・数値混同・手順逆転』のどれかに分類して再演習すると、短期間で再発を抑えられます。復習時は必ず関連用語と比較表をセットで参照します。,公式情報はどのタイミングで確認すべきですか？,受験直前だけでなく、週次の学習サイクル末尾で更新有無を確認するのが安全です。法令・検査・試験制度に関わる数値は改正や運用変更で差が出るため、要項・条文・試験実施団体の案内を一次情報として照合してください。数値・日程・合格基準は公益財団法人 安全衛生技術試験協会（www.exam.or.jp）の試験要項で必ずご確認ください。
kanki-kyuki-nensho,関気燃焼と給気燃焼の違い,燃料及び燃焼に関する知識,関気燃焼;給気燃焼;燃焼方式,燃焼用空気の供給方法である関気（排気ファン）と給気（送風）の違いを整理します。,関気燃焼;給気燃焼,"[{""axis"": ""空気の流れ"", ""cols"": [""ボイラー室の負圧で炉内へ吸引"", ""ファンで炉へ圧送""]}, {""axis"": ""設備"", ""cols"": [""誘引ファン・煙突の吸引力"", ""送風機・給気ダクト""]}, {""axis"": ""特徴"", ""cols"": [""漏えいは炉内へ流入しにくい"", ""炉内正圧になり漏えいに注意""]}, {""axis"": ""試験"", ""cols"": [""「負圧」「誘引」"", ""「送風」「正圧」""]}, {""axis"": ""混同"", ""cols"": [""関気＝送風"", ""給気＝排気のみ""]}]",関気燃焼と給気燃焼の違い｜2級ボイラー,燃焼方式・通風の問題では、空気を引くか送るかが要点です。ボイラー室圧力と漏えいの向きをセットで覚えてください。,関気＝負圧・誘引;給気＝送風・正圧;漏えいの向きが異なる;ファン配置で見分ける,関気と給気を逆にする;正負圧を無視;送風機を誘引と混同,「引く＝関気」「送る＝給気」と圧力で整理。,気体燃料・燃焼方式;燃焼用空気;燃焼室,関気燃焼と給気燃焼の違いは何から押さえるべきですか？,最初に『主語・目的・適用場面』の3点を固定してください。2級ボイラー技士では似た用語を入れ替えた肢が多く、定義だけでなく運転手順や法令上の位置づけまで一緒に確認すると誤答率が下がります。比較表を声に出して説明できる状態を目標にします。,本番で迷ったときの判断手順は？,問題文の条件（圧力・水位・法令・手順）を先に抽出し、次に比較軸へ当てはめます。選択肢を先に読むより、判断軸を固定してから照合する方が引っかけを回避しやすく、時間配分も安定します。過去問では同型の誤答理由を必ず記録してください。,学習を定着させる復習法は？,で定義を確認し、で運転・法令の実務軸を追加して往復してください。誤答した問題は『条件読み落とし・数値混同・手順逆転』のどれかに分類して再演習すると、短期間で再発を抑えられます。復習時は必ず関連用語と比較表をセットで参照します。,公式情報はどのタイミングで確認すべきですか？,受験直前だけでなく、週次の学習サイクル末尾で更新有無を確認するのが安全です。法令・検査・試験制度に関わる数値は改正や運用変更で差が出るため、要項・条文・試験実施団体の案内を一次情報として照合してください。数値・日程・合格基準は公益財団法人 安全衛生技術試験協会（www.exam.or.jp）の試験要項で必ずご確認ください。
