exam_year,exam_wareki,question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,choice_5,correct,is_exempt,is_invalidated,note,explanation
201504,平成27年4月,1,single,ボイラーの構造に関する知識,過去問の試験ID・問番号・科目・正答番号に対応したサイト掲載用オリジナル問題,水の比熱に関する記述として、適切なものは次のうちどれか。,,,,,,煙突の高さを表す。,安全弁の吹出し圧力を表す。,燃料油の粘度だけを表す。,水1kgの温度を1K上げるのに必要な熱量に関係する。,水面計のガラス長さを表す。,4,FALSE,FALSE,本文・選択肢は転載しない / ORG560-321,正答は（4）です。公表問題のため、選択肢ごとの理解は一問一答でも確認してください。
201504,平成27年4月,2,single,ボイラーの構造に関する知識,過去問の試験ID・問番号・科目・正答番号に対応したサイト掲載用オリジナル問題,絶対圧力に関する記述として、適切なものは次のうちどれか。,,,,,,大気圧を基準にした圧力である。,水位の高さだけを示す。,燃料の発熱量である。,真空を基準にした圧力である。,安全弁の口径だけを示す。,4,FALSE,FALSE,本文・選択肢は転載しない / ORG560-322,正答は（4）です。公表問題のため、選択肢ごとの理解は一問一答でも確認してください。
201504,平成27年4月,3,single,ボイラーの構造に関する知識,過去問の試験ID・問番号・科目・正答番号に対応したサイト掲載用オリジナル問題,圧力が高くなると水の沸点は一般にどうなるか。,,,,,,低くなる。,変わらない。,必ず0度になる。,高くなる。,燃料の種類だけで決まる。,4,FALSE,FALSE,本文・選択肢は転載しない / ORG560-323,正答は（4）です。公表問題のため、選択肢ごとの理解は一問一答でも確認してください。
201504,平成27年4月,4,single,ボイラーの構造に関する知識,過去問の試験ID・問番号・科目・正答番号に対応したサイト掲載用オリジナル問題,湿り蒸気に関する記述として、適切なものは次のうちどれか。,,,,,,乾き飽和蒸気と水滴が混じった蒸気である。,必ず過熱蒸気である。,燃料ガスだけをいう。,水面計の内部水だけをいう。,圧力計内の空気だけをいう。,1,FALSE,FALSE,本文・選択肢は転載しない / ORG560-324,正答は（1）です。公表問題のため、選択肢ごとの理解は一問一答でも確認してください。
201504,平成27年4月,5,single,ボイラーの構造に関する知識,過去問の試験ID・問番号・科目・正答番号に対応したサイト掲載用オリジナル問題,伝熱面にすすが付着した場合の影響として、適切なものは次のうちどれか。,,,,,,燃料中の硫黄分が消える。,伝熱が必ず良くなる。,水位が自動で安定する。,熱伝達が悪くなり、排ガス温度が上がることがある。,安全弁が不要になる。,4,FALSE,FALSE,本文・選択肢は転載しない / ORG560-325,正答は（4）です。公表問題のため、選択肢ごとの理解は一問一答でも確認してください。
201504,平成27年4月,6,single,ボイラーの構造に関する知識,過去問の試験ID・問番号・科目・正答番号に対応したサイト掲載用オリジナル問題,炉壁の耐火材に関する記述として、適切なものは次のうちどれか。,,,,,,高温ガスから外壁を保護し、熱損失を抑える。,燃料を自動で脱硫する。,水の硬度を下げる。,圧力計の目盛を増やす。,水面計の代わりに水位を表示する。,1,FALSE,FALSE,本文・選択肢は転載しない / ORG560-326,正答は（1）です。公表問題のため、選択肢ごとの理解は一問一答でも確認してください。
201504,平成27年4月,7,single,ボイラーの構造に関する知識,過去問の試験ID・問番号・科目・正答番号に対応したサイト掲載用オリジナル問題,水循環が悪くなると起こり得る障害として、適切なものは次のうちどれか。,,,,,,伝熱面の過熱や焼損。,燃料の発熱量増加。,安全弁の自動増設。,水面計の不要化。,煙突高さの低下。,1,FALSE,FALSE,本文・選択肢は転載しない / ORG560-327,正答は（1）です。公表問題のため、選択肢ごとの理解は一問一答でも確認してください。
201504,平成27年4月,8,single,ボイラーの構造に関する知識,過去問の試験ID・問番号・科目・正答番号に対応したサイト掲載用オリジナル問題,ドラムに関する記述として、適切なものは次のうちどれか。,,,,,,燃料だけを貯蔵する。,蒸気と水を分離し、水管群の水循環にも関係する。,煙突の先端部である。,安全弁のばねである。,給水ポンプの羽根車である。,2,FALSE,FALSE,本文・選択肢は転載しない / ORG560-328,正答は（2）です。公表問題のため、選択肢ごとの理解は一問一答でも確認してください。
201504,平成27年4月,9,single,ボイラーの構造に関する知識,過去問の試験ID・問番号・科目・正答番号に対応したサイト掲載用オリジナル問題,貫流ボイラーで水質管理が重要な理由として、適切なものは次のうちどれか。,,,,,,安全弁を設けないため。,水を全く使わないため。,燃料だけで蒸気を直接作るため。,保有水量が少なく、管内でのスケールや腐食の影響を受けやすい。,水面計が常に不要なため。,4,FALSE,FALSE,本文・選択肢は転載しない / ORG560-329,正答は（4）です。公表問題のため、選択肢ごとの理解は一問一答でも確認してください。
201504,平成27年4月,10,single,ボイラーの構造に関する知識,過去問の試験ID・問番号・科目・正答番号に対応したサイト掲載用オリジナル問題,丸ボイラーの特徴として、適切なものは次のうちどれか。,,,,,,安全弁を設けることができない。,必ず水を保有しない。,燃料ガスだけを貯蔵する。,胴内に比較的多くの水を保有するものがある。,蒸気を発生できない。,4,FALSE,FALSE,本文・選択肢は転載しない / ORG560-330,正答は（4）です。公表問題のため、選択肢ごとの理解は一問一答でも確認してください。
